,機關名稱,機關地址,Longitude,Latitude,類型
95,水尾景觀公園,新北市208金山區中角海灘,121.6425,25.22104,公共活動空間
96,菁桐煤礦紀念公園,新北市226平溪區菁桐街50號,121.72446,25.02484,公共活動空間
97,蘆堤寵物公園,新北市248五股區環提大道,121.45448,25.08736,公共活動空間
98,金瓜石地質公園 (本山礦體),新北市224瑞芳區102縣道18公里處,121.85878,25.10166,公共活動空間
99,土城區原住民族生態公園,新北市236土城區永寧路68巷,121.42953,24.95293,公共活動空間
100,樹林原住民主題部落公園,新北市238樹林區鹿角溪濕地下游300公尺,121.41182,24.96983,公共活動空間
101,鴨鴨公園,新北市241三重區環河南路299號,121.49076,25.0487,公共活動空間
102,鐵道地景公園,新北市238樹林區山佳街28號,121.39449,24.97291,公共活動空間
103,芝蘭公園海上觀景平台,新北市252三芝區,121.47253,25.25412,公共活動空間
104,員山公園,新北市235中和區員山路455巷,121.48009,25.00415,公共活動空間
105,八里十三行文化公園,新北市249八里區挖子尾街111號,121.41163,25.16486,公共活動空間
106,中山溫泉公園,新北市208金山區溫泉路2巷10號,121.63998,25.22198,公共活動空間
107,螃蟹主題公園,新北市207萬里區新北市萬里區漁澳路2號,121.68677,25.19485,公共活動空間
108,南勢崗公園,新北市252三芝區淡金公路旁(台2線約17.3公里處),121.47871,25.262,公共活動空間
109,錦和運動公園,新北市235中和區錦和路、中正路口,121.48865,24.99292,公共活動空間
110,土城媽祖田運動公園,新北市236土城區,121.42038,24.96669,公共活動空間
111,八里左岸公園,新北市249八里區觀海大道36號,121.43001,25.16083,公共活動空間
112,八里渡船頭公園,新北市249八里區八里區龍米路2段201巷,121.4338,25.15755,公共活動空間
113,八里商港公園,新北市249八里區八里區商港八路,121.40018,25.15031,公共活動空間
114,板樹體育館,新北市220板橋區溪城路90號,121.42767,24.98125,公共活動空間
115,塭仔底溼地公園,新北市242新莊區中華路三段與昌和街交叉口(昌平國小旁),121.45568,25.05579,公共活動空間
116,水碓觀景公園,新北市248五股區水碓九路69號,121.42868,25.07365,公共活動空間
117,萬里大鵬足湯公園,新北市207萬里區加投路81號,121.64831,25.21302,公共活動空間
118,福德水車公園生態園區,新北市三芝區三芝遊客中心旁(三芝遊客中心地址:臺北縣三芝區埔坪里埔頭坑164-2號),121.50617,25.24749,公共活動空間
